datetime,count,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,year,month,day,dayofweek,hour
2011-01-01 00:00:00,16,1,0,0,1,9.84,14.395,81,0.0,2011,1,1,5,0
2011-01-01 01:00:00,40,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,1
2011-01-01 02:00:00,32,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,2
2011-01-01 03:00:00,13,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,3
2011-01-01 04:00:00,1,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,4
2011-01-01 05:00:00,1,1,0,0,2,9.84,12.88,75,6.0032,2011,1,1,5,5
2011-01-01 06:00:00,2,1,0,0,1,9.02,13.635,80,0.0,2011,1,1,5,6
2011-01-01 07:00:00,3,1,0,0,1,8.2,12.88,86,0.0,2011,1,1,5,7
2011-01-01 08:00:00,8,1,0,0,1,9.84,14.395,75,0.0,2011,1,1,5,8
2011-01-01 09:00:00,14,1,0,0,1,13.12,17.425,76,0.0,2011,1,1,5,9
2011-01-01 10:00:00,36,1,0,0,1,15.58,19.695,76,16.9979,2011,1,1,5,10
2011-01-01 11:00:00,56,1,0,0,1,14.76,16.665,81,19.0012,2011,1,1,5,11
2011-01-01 12:00:00,84,1,0,0,1,17.22,21.21,77,19.0012,2011,1,1,5,12
2011-01-01 13:00:00,94,1,0,0,2,18.86,22.725,72,19.9995,2011,1,1,5,13
2011-01-01 14:00:00,106,1,0,0,2,18.86,22.725,72,19.0012,2011,1,1,5,14
2011-01-01 15:00:00,110,1,0,0,2,18.04,21.97,77,19.9995,2011,1,1,5,15
2011-01-01 16:00:00,93,1,0,0,2,17.22,21.21,82,19.9995,2011,1,1,5,16
2011-01-01 17:00:00,67,1,0,0,2,18.04,21.97,82,19.0012,2011,1,1,5,17
2011-01-01 18:00:00,35,1,0,0,3,17.22,21.21,88,16.9979,2011,1,1,5,18
2011-01-01 19:00:00,37,1,0,0,3,17.22,21.21,88,16.9979,2011,1,1,5,19
2011-01-01 20:00:00,36,1,0,0,2,16.4,20.455,87,16.9979,2011,1,1,5,20
2011-01-01 21:00:00,34,1,0,0,2,16.4,20.455,87,12.998,2011,1,1,5,21
2011-01-01 22:00:00,28,1,0,0,2,16.4,20.455,94,15.0013,2011,1,1,5,22
2011-01-01 23:00:00,39,1,0,0,2,18.86,22.725,88,19.9995,2011,1,1,5,23
2011-01-02 00:00:00,17,1,0,0,2,18.86,22.725,88,19.9995,2011,1,2,6,0
2011-01-02 01:00:00,17,1,0,0,2,18.04,21.97,94,16.9979,2011,1,2,6,1
2011-01-02 02:00:00,9,1,0,0,2,17.22,21.21,100,19.0012,2011,1,2,6,2
2011-01-02 03:00:00,6,1,0,0,2,18.86,22.725,94,12.998,2011,1,2,6,3
2011-01-02 04:00:00,3,1,0,0,2,18.86,22.725,94,12.998,2011,1,2,6,4
2011-01-02 06:00:00,2,1,0,0,3,17.22,21.21,77,19.9995,2011,1,2,6,6
2011-01-02 07:00:00,1,1,0,0,2,16.4,20.455,76,12.998,2011,1,2,6,7
2011-01-02 08:00:00,8,1,0,0,3,16.4,20.455,71,15.0013,2011,1,2,6,8
2011-01-02 09:00:00,20,1,0,0,2,15.58,19.695,76,15.0013,2011,1,2,6,9
2011-01-02 10:00:00,53,1,0,0,2,14.76,17.425,81,15.0013,2011,1,2,6,10
2011-01-02 11:00:00,70,1,0,0,2,14.76,16.665,71,16.9979,2011,1,2,6,11
2011-01-02 12:00:00,93,1,0,0,2,14.76,16.665,66,19.9995,2011,1,2,6,12
2011-01-02 13:00:00,75,1,0,0,2,14.76,17.425,66,8.9981,2011,1,2,6,13
2011-01-02 14:00:00,59,1,0,0,3,14.76,17.425,76,12.998,2011,1,2,6,14
2011-01-02 15:00:00,74,1,0,0,3,13.94,16.665,81,11.0014,2011,1,2,6,15
2011-01-02 16:00:00,76,1,0,0,3,13.94,16.665,71,11.0014,2011,1,2,6,16
2011-01-02 17:00:00,65,1,0,0,1,13.94,16.665,57,12.998,2011,1,2,6,17
2011-01-02 18:00:00,53,1,0,0,2,14.76,16.665,46,22.0028,2011,1,2,6,18
2011-01-02 19:00:00,30,1,0,0,1,13.12,14.395,42,30.0026,2011,1,2,6,19
2011-01-02 20:00:00,22,1,0,0,1,12.3,13.635,39,23.9994,2011,1,2,6,20
2011-01-02 21:00:00,31,1,0,0,1,10.66,11.365,44,22.0028,2011,1,2,6,21
2011-01-02 22:00:00,9,1,0,0,1,9.84,10.605,44,19.9995,2011,1,2,6,22
2011-01-02 23:00:00,8,1,0,0,1,9.02,11.365,47,11.0014,2011,1,2,6,23
2011-01-03 00:00:00,5,1,0,1,1,9.02,9.85,44,23.9994,2011,1,3,0,0
2011-01-03 01:00:00,2,1,0,1,1,8.2,8.335,44,27.9993,2011,1,3,0,1
2011-01-03 04:00:00,1,1,0,1,1,6.56,6.82,47,26.0027,2011,1,3,0,4
2011-01-03 05:00:00,3,1,0,1,1,6.56,6.82,47,19.0012,2011,1,3,0,5
2011-01-03 06:00:00,30,1,0,1,1,5.74,5.305,50,26.0027,2011,1,3,0,6
2011-01-03 07:00:00,64,1,0,1,1,5.74,6.82,50,12.998,2011,1,3,0,7
2011-01-03 08:00:00,154,1,0,1,1,5.74,6.06,50,19.0012,2011,1,3,0,8
2011-01-03 09:00:00,88,1,0,1,1,6.56,6.82,43,26.0027,2011,1,3,0,9
2011-01-03 10:00:00,44,1,0,1,1,7.38,8.335,43,16.9979,2011,1,3,0,10
2011-01-03 11:00:00,51,1,0,1,1,8.2,9.09,40,22.0028,2011,1,3,0,11
2011-01-03 12:00:00,61,1,0,1,1,9.02,10.605,35,19.9995,2011,1,3,0,12
2011-01-03 13:00:00,61,1,0,1,1,9.84,10.605,35,19.0012,2011,1,3,0,13
2011-01-03 14:00:00,77,1,0,1,1,10.66,12.12,30,19.0012,2011,1,3,0,14
2011-01-03 15:00:00,72,1,0,1,1,10.66,12.12,30,16.9979,2011,1,3,0,15
2011-01-03 16:00:00,76,1,0,1,1,10.66,12.12,30,16.9979,2011,1,3,0,16
2011-01-03 17:00:00,157,1,0,1,1,9.84,11.365,30,15.0013,2011,1,3,0,17
2011-01-03 18:00:00,157,1,0,1,1,9.84,12.88,32,7.0015,2011,1,3,0,18
2011-01-03 19:00:00,110,1,0,1,1,8.2,12.88,47,0.0,2011,1,3,0,19
2011-01-03 20:00:00,52,1,0,1,1,8.2,11.365,47,7.0015,2011,1,3,0,20
2011-01-03 21:00:00,52,1,0,1,1,7.38,9.85,64,8.9981,2011,1,3,0,21
2011-01-03 22:00:00,20,1,0,1,1,5.74,7.575,69,8.9981,2011,1,3,0,22
2011-01-03 23:00:00,12,1,0,1,1,7.38,10.605,55,7.0015,2011,1,3,0,23
2011-01-04 00:00:00,5,1,0,1,1,6.56,9.09,55,7.0015,2011,1,4,1,0
2011-01-04 01:00:00,2,1,0,1,1,6.56,9.09,59,7.0015,2011,1,4,1,1
2011-01-04 02:00:00,1,1,0,1,1,5.74,7.575,63,8.9981,2011,1,4,1,2
2011-01-04 04:00:00,2,1,0,1,1,5.74,9.09,63,6.0032,2011,1,4,1,4
2011-01-04 05:00:00,4,1,0,1,1,4.92,7.575,68,7.0015,2011,1,4,1,5
2011-01-04 06:00:00,36,1,0,1,1,4.92,7.575,74,7.0015,2011,1,4,1,6
2011-01-04 07:00:00,94,1,0,1,1,4.92,7.575,74,8.9981,2011,1,4,1,7
2011-01-04 08:00:00,179,1,0,1,1,5.74,7.575,69,11.0014,2011,1,4,1,8
2011-01-04 09:00:00,100,1,0,1,1,6.56,7.575,64,15.0013,2011,1,4,1,9
2011-01-04 10:00:00,42,1,0,1,2,6.56,6.82,69,22.0028,2011,1,4,1,10
2011-01-04 11:00:00,57,1,0,1,1,9.02,10.605,51,19.9995,2011,1,4,1,11
2011-01-04 12:00:00,78,1,0,1,1,9.02,11.365,51,11.0014,2011,1,4,1,12
2011-01-04 13:00:00,97,1,0,1,1,9.84,11.365,56,12.998,2011,1,4,1,13
2011-01-04 14:00:00,63,1,0,1,1,10.66,12.88,52,15.0013,2011,1,4,1,14
2011-01-04 15:00:00,65,1,0,1,1,11.48,13.635,52,16.9979,2011,1,4,1,15
2011-01-04 16:00:00,83,1,0,1,1,12.3,14.395,49,16.9979,2011,1,4,1,16
2011-01-04 17:00:00,212,1,0,1,1,11.48,13.635,48,15.0013,2011,1,4,1,17
2011-01-04 18:00:00,182,1,0,1,1,10.66,12.88,48,12.998,2011,1,4,1,18
2011-01-04 19:00:00,112,1,0,1,1,9.84,12.88,48,7.0015,2011,1,4,1,19
2011-01-04 20:00:00,54,1,0,1,1,9.84,12.88,48,7.0015,2011,1,4,1,20
2011-01-04 21:00:00,48,1,0,1,1,9.02,13.635,64,0.0,2011,1,4,1,21
2011-01-04 22:00:00,35,1,0,1,1,9.02,12.88,64,6.0032,2011,1,4,1,22
2011-01-04 23:00:00,11,1,0,1,1,8.2,11.365,69,6.0032,2011,1,4,1,23
2011-01-05 00:00:00,6,1,0,1,1,8.2,12.88,64,0.0,2011,1,5,2,0
2011-01-05 01:00:00,6,1,0,1,1,6.56,9.85,74,6.0032,2011,1,5,2,1
2011-01-05 02:00:00,2,1,0,1,1,6.56,9.85,74,6.0032,2011,1,5,2,2
2011-01-05 04:00:00,2,1,0,1,1,9.84,11.365,48,15.0013,2011,1,5,2,4
2011-01-05 05:00:00,3,1,0,1,1,9.02,11.365,47,11.0014,2011,1,5,2,5
2011-01-05 06:00:00,33,1,0,1,1,8.2,9.85,47,15.0013,2011,1,5,2,6
2011-01-05 07:00:00,88,1,0,1,1,7.38,9.09,43,12.998,2011,1,5,2,7
2011-01-05 08:00:00,195,1,0,1,1,8.2,9.09,40,19.9995,2011,1,5,2,8
2011-01-05 09:00:00,115,1,0,1,1,9.02,9.85,37,22.0028,2011,1,5,2,9
2011-01-05 10:00:00,57,1,0,1,1,9.02,9.85,37,22.0028,2011,1,5,2,10
2011-01-05 11:00:00,46,1,0,1,1,10.66,11.365,33,22.0028,2011,1,5,2,11
2011-01-05 12:00:00,79,1,0,1,1,10.66,11.365,33,22.0028,2011,1,5,2,12
2011-01-05 13:00:00,71,1,0,1,1,11.48,12.88,30,19.9995,2011,1,5,2,13
2011-01-05 14:00:00,62,1,0,1,1,12.3,14.395,28,12.998,2011,1,5,2,14
2011-01-05 15:00:00,62,1,0,1,1,12.3,14.395,28,12.998,2011,1,5,2,15
2011-01-05 16:00:00,89,1,0,1,1,12.3,15.91,28,6.0032,2011,1,5,2,16
2011-01-05 17:00:00,190,1,0,1,1,9.84,11.365,38,12.998,2011,1,5,2,17
2011-01-05 18:00:00,169,1,0,1,1,9.84,12.12,38,8.9981,2011,1,5,2,18
2011-01-05 19:00:00,132,1,0,1,1,9.84,12.88,38,7.0015,2011,1,5,2,19
2011-01-05 20:00:00,89,1,0,1,1,9.02,11.365,47,11.0014,2011,1,5,2,20
2011-01-05 21:00:00,43,1,0,1,1,8.2,9.85,51,12.998,2011,1,5,2,21
2011-01-05 22:00:00,42,1,0,1,1,7.38,9.85,55,8.9981,2011,1,5,2,22
2011-01-05 23:00:00,19,1,0,1,1,8.2,12.88,47,0.0,2011,1,5,2,23
2011-01-06 00:00:00,11,1,0,1,1,7.38,12.12,55,0.0,2011,1,6,3,0
2011-01-06 01:00:00,4,1,0,1,1,6.56,11.365,64,0.0,2011,1,6,3,1
2011-01-06 02:00:00,2,1,0,1,1,6.56,11.365,64,0.0,2011,1,6,3,2
2011-01-06 04:00:00,1,1,0,1,2,6.56,9.85,64,6.0032,2011,1,6,3,4
2011-01-06 05:00:00,4,1,0,1,2,5.74,9.09,69,6.0032,2011,1,6,3,5
2011-01-06 06:00:00,36,1,0,1,2,5.74,8.335,63,7.0015,2011,1,6,3,6
2011-01-06 07:00:00,95,1,0,1,2,6.56,11.365,59,0.0,2011,1,6,3,7
2011-01-06 08:00:00,219,1,0,1,1,6.56,11.365,59,0.0,2011,1,6,3,8
2011-01-06 09:00:00,122,1,0,1,2,7.38,12.12,51,0.0,2011,1,6,3,9
2011-01-06 10:00:00,45,1,0,1,1,8.2,12.88,47,0.0,2011,1,6,3,10
2011-01-06 11:00:00,59,1,0,1,1,9.02,12.88,44,6.0032,2011,1,6,3,11
2011-01-06 12:00:00,84,1,0,1,1,10.66,14.395,35,0.0,2011,1,6,3,12
2011-01-06 13:00:00,67,1,0,1,1,10.66,13.635,35,7.0015,2011,1,6,3,13
2011-01-06 14:00:00,70,1,0,1,1,11.48,13.635,36,11.0014,2011,1,6,3,14
2011-01-06 15:00:00,62,1,0,1,1,11.48,13.635,36,0.0,2011,1,6,3,15
2011-01-06 16:00:00,86,1,0,1,1,10.66,12.88,38,11.0014,2011,1,6,3,16
2011-01-06 17:00:00,172,1,0,1,1,9.02,11.365,51,11.0014,2011,1,6,3,17
2011-01-06 18:00:00,163,1,0,1,1,9.02,11.365,51,8.9981,2011,1,6,3,18
2011-01-06 19:00:00,112,1,0,1,1,9.02,12.88,55,6.0032,2011,1,6,3,19
2011-01-06 20:00:00,69,1,0,1,1,8.2,10.605,51,11.0014,2011,1,6,3,20
2011-01-06 21:00:00,48,1,0,1,2,9.02,10.605,55,15.0013,2011,1,6,3,21
2011-01-06 22:00:00,52,1,0,1,2,9.02,10.605,51,19.0012,2011,1,6,3,22
2011-01-06 23:00:00,23,1,0,1,2,8.2,9.85,59,12.998,2011,1,6,3,23
2011-01-07 00:00:00,17,1,0,1,2,8.2,9.85,64,12.998,2011,1,7,4,0
2011-01-07 01:00:00,7,1,0,1,2,8.2,9.85,69,15.0013,2011,1,7,4,1
2011-01-07 02:00:00,1,1,0,1,2,8.2,9.85,69,15.0013,2011,1,7,4,2
2011-01-07 04:00:00,1,1,0,1,2,8.2,10.605,69,8.9981,2011,1,7,4,4
2011-01-07 05:00:00,5,1,0,1,3,9.02,13.635,55,0.0,2011,1,7,4,5
2011-01-07 06:00:00,34,1,0,1,2,8.2,12.88,69,0.0,2011,1,7,4,6
2011-01-07 07:00:00,84,1,0,1,1,8.2,10.605,69,8.9981,2011,1,7,4,7
2011-01-07 08:00:00,210,1,0,1,1,8.2,9.85,51,16.9979,2011,1,7,4,8
2011-01-07 09:00:00,134,1,0,1,1,8.2,9.09,47,19.9995,2011,1,7,4,9
2011-01-07 10:00:00,63,1,0,1,1,9.02,9.85,37,22.0028,2011,1,7,4,10
2011-01-07 11:00:00,67,1,0,1,2,8.2,9.85,40,15.0013,2011,1,7,4,11
2011-01-07 12:00:00,59,1,0,1,2,8.2,9.85,37,16.9979,2011,1,7,4,12
2011-01-07 13:00:00,73,1,0,1,2,8.2,9.09,37,19.0012,2011,1,7,4,13
2011-01-07 14:00:00,50,1,0,1,2,8.2,9.85,40,16.9979,2011,1,7,4,14
2011-01-07 15:00:00,72,1,0,1,2,8.2,10.605,37,11.0014,2011,1,7,4,15
2011-01-07 16:00:00,87,1,0,1,2,8.2,10.605,37,11.0014,2011,1,7,4,16
2011-01-07 17:00:00,187,1,0,1,2,8.2,12.88,37,0.0,2011,1,7,4,17
2011-01-07 18:00:00,123,1,0,1,1,8.2,11.365,40,6.0032,2011,1,7,4,18
2011-01-07 19:00:00,95,1,0,1,1,6.56,9.85,55,6.0032,2011,1,7,4,19
2011-01-07 20:00:00,51,1,0,1,1,7.38,10.605,47,7.0015,2011,1,7,4,20
2011-01-07 21:00:00,39,1,0,1,1,7.38,9.85,47,8.9981,2011,1,7,4,21
2011-01-07 22:00:00,36,1,0,1,2,7.38,9.85,43,11.0014,2011,1,7,4,22
2011-01-07 23:00:00,15,1,0,1,2,7.38,9.85,51,11.0014,2011,1,7,4,23
2011-01-08 00:00:00,25,1,0,0,2,7.38,9.85,51,11.0014,2011,1,8,5,0
2011-01-08 01:00:00,16,1,0,0,2,7.38,10.605,55,6.0032,2011,1,8,5,1
2011-01-08 02:00:00,16,1,0,0,2,7.38,12.12,55,0.0,2011,1,8,5,2
2011-01-08 03:00:00,7,1,0,0,3,7.38,9.85,55,11.0014,2011,1,8,5,3
2011-01-08 04:00:00,1,1,0,0,3,7.38,9.85,55,11.0014,2011,1,8,5,4
2011-01-08 05:00:00,5,1,0,0,2,6.56,8.335,74,11.0014,2011,1,8,5,5
2011-01-08 06:00:00,2,1,0,0,2,6.56,8.335,74,11.0014,2011,1,8,5,6
2011-01-08 07:00:00,9,1,0,0,2,6.56,9.09,74,7.0015,2011,1,8,5,7
2011-01-08 08:00:00,15,1,0,0,3,6.56,9.09,93,7.0015,2011,1,8,5,8
2011-01-08 09:00:00,20,1,0,0,3,6.56,9.09,93,7.0015,2011,1,8,5,9
2011-01-08 10:00:00,61,1,0,0,2,7.38,9.85,80,11.0014,2011,1,8,5,10
2011-01-08 11:00:00,62,1,0,0,2,8.2,9.09,69,26.0027,2011,1,8,5,11
2011-01-08 12:00:00,98,1,0,0,2,8.2,9.09,59,23.9994,2011,1,8,5,12
2011-01-08 13:00:00,102,1,0,0,1,8.2,9.09,44,22.0028,2011,1,8,5,13
2011-01-08 14:00:00,95,1,0,0,1,8.2,8.335,32,32.9975,2011,1,8,5,14
2011-01-08 15:00:00,74,1,0,0,1,8.2,8.335,32,30.0026,2011,1,8,5,15
2011-01-08 16:00:00,76,1,0,0,1,7.38,6.82,29,30.0026,2011,1,8,5,16
2011-01-08 17:00:00,69,1,0,0,1,6.56,6.06,37,36.9974,2011,1,8,5,17
2011-01-08 18:00:00,55,1,0,0,1,5.74,6.06,39,19.9995,2011,1,8,5,18
2011-01-08 19:00:00,30,1,0,0,1,5.74,6.06,36,16.9979,2011,1,8,5,19
2011-01-08 20:00:00,28,1,0,0,1,4.92,6.06,36,16.9979,2011,1,8,5,20
2011-01-08 21:00:00,37,1,0,0,1,4.92,5.305,39,23.9994,2011,1,8,5,21
2011-01-08 22:00:00,34,1,0,0,1,4.92,5.305,36,26.0027,2011,1,8,5,22
2011-01-08 23:00:00,22,1,0,0,1,4.1,3.03,39,30.0026,2011,1,8,5,23
2011-01-09 00:00:00,25,1,0,0,1,4.1,3.79,42,26.0027,2011,1,9,6,0
2011-01-09 01:00:00,12,1,0,0,1,4.1,3.03,42,31.0009,2011,1,9,6,1
